,indID,popID,country,lonInd,latInd,hapInd
98,ind_98,Imari,1_Asia,129.880844,33.264456,H44
99,ind_99,Teguma,1_Asia,129.846463,32.712758,H32
100,ind_100,Kuranomoto,1_Asia,130.166311,32.183459,H38
101,ind_101,Kuranomoto,1_Asia,130.166311,32.183459,H48
102,ind_102,Tajiri,1_Asia,135.278037,34.404318,H5
103,ind_103,Tajiri,1_Asia,135.278037,34.404318,H5
104,ind_104,Gampo,1_Asia,129.502401,35.80044,H19
105,ind_105,Kuryongp’o,1_Asia,129.558637,35.982493,H17
106,ind_106,Kuryongp’o,1_Asia,129.558637,35.982493,H27
107,ind_107,Kuryongp’o,1_Asia,129.558637,35.982493,H45
108,ind_108,Wolpo,1_Asia,129.366402,36.204006,H17
109,ind_109,Wolpo,1_Asia,129.366402,36.204006,H20
110,ind_110,Dae daepo,1_Asia,126.676273,35.723522,H22
111,ind_111,Songdo,1_Asia,129.375069,36.036817,H21
112,ind_112,Geoje Island,1_Asia,128.63374,34.974234,H42
113,ind_113,Yosu,1_Asia,127.655692,34.723485,H20
114,ind_114,Yosu,1_Asia,127.655692,34.723485,H20
115,ind_115,Yosu,1_Asia,127.655692,34.723485,H23
116,ind_116,Bangpo,1_Asia,126.518634,35.678783,H2
117,ind_117,Bangpo,1_Asia,126.518634,35.678783,H2
118,ind_118,Bangpo,1_Asia,126.518634,35.678783,H3
