,n,reg
AKI,20,nonSource
AMA,20,kag
BUA,21,nonSource
GUJ,23,nonSource
GUR,21,nonSource
HAE,24,nonSource
HI1,19,nonSource
HI2,20,nonSource
HUI,20,nonSource
HY1,12,tok
HY2,20,tok
IWA,20,sea
JEJ,20,nonSource
JPA,21,hon
KES,20,nonSource
NB1,5,sea
NB2,20,sea
OSY,27,hok
SAN,11,kag
SEN,4,hon
SHA,3,nonSource
SHI,10,kag
SUG,20,tok
TMP,12,kag
TOK,7,tok
TOM,6,hok
GER,10,Europe
