"","France","New Zealand","USA"
"hok",2.01,1.01,0.01
"hon",0.01,0.01,0.01
"tok",0.01,0.01,11.01
"sea",2.01,11.01,0.01
"kag",0.01,0.01,0.01
"nonSource",0.01,63.01,0.01
