,Bolinus,Boundary,Elkhorn,Padila
Ariake,0,0,0,0
Hiroshma,0,0,0,0
Ibo,0,0,0,0
Kasuga,0,0,0,0
Kumode,0,0,0,0
Mangoku,0,0,0,0
Matsukawa,0,0,1,0
Matsushima,0,0,0,0
Nagazura,0,0,0,0
Obitsu,0,0,0,0
Tanabe,0,0,0,0
Toga,0,0,0,0
Torinoumi,1,1,0,1
Yamada,0,0,0,0
