"indID","popID","country","latInd","lonInd","acc"
"ind93","Sado Island","Japan",37.970771,138.312186,"JN830667"
"ind94","Sagami Bay","Japan",35.312625,139.454576,"JN830669"
"ind95","Sagami Bay","Japan",35.312625,139.454576,"JN830670"
"ind96","San Francisco Bay","California",37.756716,-122.354988,"JN830703"
"ind97","San Francisco Bay","California",37.756716,-122.354988,"JN830704"
"ind98","San Francisco Bay","California",37.756716,-122.354988,"JN830705"
"ind99","San Francisco Bay","California",37.756716,-122.354988,"JN830706"
"ind100","San Francisco Bay","California",37.756716,-122.354988,"JN830707"
"ind101","San Francisco Bay","California",37.756716,-122.354988,"JN830708"
"ind102","San Francisco Bay","California",37.756716,-122.354988,"JN830709"
"ind103","San Francisco Bay","California",37.756716,-122.354988,"JN830710"
"ind104","San Francisco Bay","California",37.756716,-122.354988,"JN830711"
"ind105","San Francisco Bay","California",37.756716,-122.354988,"JN830712"
"ind106","San Francisco Bay","California",37.756716,-122.354988,"JN830713"
"ind107","San Francisco Bay","California",37.756716,-122.354988,"JN830714"
"ind108","San Juan Islands","Washington",48.504366,-123.013125,"JN830723"
"ind109","San Juan Islands","Washington",48.504366,-123.013125,"JN830724"
"ind110","San Juan Islands","Washington",48.504366,-123.013125,"JN830725"
"ind111","San Juan Islands","Washington",48.504366,-123.013125,"JN830718"
"ind112","San Juan Islands","Washington",48.504366,-123.013125,"JN830719"
"ind113","San Juan Islands","Washington",48.504366,-123.013125,"JN830720"
"ind116","Souma","Japan",37.817642,140.978776,"JQ693572"
"ind117","Tokyo Bay","Japan",35.337347,139.816625,"JN830671"
"ind118","Tokyo Bay","Japan",35.337347,139.816625,"JN830672"
"ind119","Tokyo Bay","Japan",35.337347,139.816625,"JN830673"
"ind120","Tokyo Bay","Japan",35.337347,139.816625,"JN830674"
"ind121","Tokyo Bay","Japan",35.337347,139.816625,"JN830675"
"ind122","Tokyo Bay","Japan",35.337347,139.816625,"JN830676"
"ind123","Tokyo Bay","Japan",35.337347,139.816625,"JN830677"
"ind124","Tokyo Bay","Japan",35.337347,139.816625,"JN830678"
"ind125","Tokyo Bay","Japan",35.337347,139.816625,"JN830679"
"ind126","Tokyo Bay","Japan",35.337347,139.816625,"JN830680"
"ind127","Tokyo Bay","Japan",35.337347,139.816625,"JN830681"
"ind128","Tokyo Bay","Japan",35.337347,139.816625,"JN830682"
"ind129","Tomales Bay","California",38.191401,-122.934946,"JN830715"
"ind130","Tomales Bay","California",38.191401,-122.934946,"JN830716"
"ind131","Tomales Bay","California",38.191401,-122.934946,"JN830717"
"ind132","Uchiura Bay","Japan",42.358643,140.917436,"JN830683"
"ind133","Uchiura Bay","Japan",42.358643,140.917436,"JN830684"
"ind134","Uchiura Bay","Japan",42.358643,140.917436,"JN830685"
"ind135","Uchiura Bay","Japan",42.358643,140.917436,"JN830686"
"ind136","Uchiura Bay","Japan",42.358643,140.917436,"JN830687"
"ind137","Uchiura Bay","Japan",42.358643,140.917436,"JN830688"
"ind138","Uchiura Bay","Japan",42.358643,140.917436,"JN830689"
"ind139","Uchiura Bay","Japan",42.358643,140.917436,"JN830690"
"ind140","Uchiura Bay","Japan",42.358643,140.917436,"JN830691"
