,n,reg
pop 1,4,kag
pop 2,3,tok
pop 3,4,hon
pop 4,8,hok
pop 5,2,sea
pop 6,9,hon
pop 7,16,hon
pop 8,12,hon
pop 9,4,kag
pop 10,4,nonSource
pop 11,2,tok
pop 12,1,hon
pop 13,12,tok
pop 14,9,hok
pop 15,1,nonSource
pop 16,2,Canada
pop 17,4,Italy
pop 18,5,Italy
pop 19,1,Italy
pop 20,2,Italy
pop 21,3,France
pop 22,2,France
pop 23,5,Italy
pop 24,4,Spain
pop 25,12,California
pop 26,9,Washington
pop 27,3,California
