"species","type","comparison","post","oob","firstmod","secmod","winner","loserPost","shipPost","admixPost","MLPost"
"Batillaria_attramentaria","pca","ShipVadmix",0.732880476190476,0.0365414327024873,"Ship","admix","Ship",0.267119523809524,0.732880476190476,0.267119523809524,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.67218,0.0329145982425097,"Ship","admix","Ship",0.32782,0.67218,0.32782,NA
"Batillaria_attramentaria","pca","ShipVML",0.725025,0.0252836614383419,"Ship","ML","Ship",0.274975,0.725025,NA,0.274975
"Batillaria_attramentaria","untrans","ShipVML",0.74777,0.0195289449873835,"Ship","ML","ML",0.25223,0.25223,NA,0.74777
"Batillaria_attramentaria","pca","AdmixVML",0.609388333333334,0.350320027635559,"Admix","ML","Admix",0.390611666666666,NA,0.609388333333334,0.390611666666666
"Batillaria_attramentaria","untrans","AdmixVML",0.57346,0.345433251980689,"Admix","ML","ML",0.42654,NA,0.42654,0.57346
"Batillaria_attramentaria","pca","ShipVadmix",0.715741666666667,0.0364722254435811,"Ship","admix","Ship",0.284258333333333,0.715741666666667,0.284258333333333,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.678258333333334,0.0328734479804574,"Ship","admix","Ship",0.321741666666666,0.678258333333334,0.321741666666666,NA
"Batillaria_attramentaria","pca","ShipVML",0.725645,0.0253623392023199,"Ship","ML","Ship",0.274355,0.725645,NA,0.274355
"Batillaria_attramentaria","untrans","ShipVML",0.753248333333333,0.019564537309183,"Ship","ML","ML",0.246751666666667,0.246751666666667,NA,0.753248333333333
"Batillaria_attramentaria","pca","AdmixVML",0.610820714285714,0.349143269589932,"Admix","ML","Admix",0.389179285714286,NA,0.610820714285714,0.389179285714286
"Batillaria_attramentaria","untrans","AdmixVML",0.581505000000001,0.344885596088333,"Admix","ML","Admix",0.418494999999999,NA,0.581505000000001,0.418494999999999
"Batillaria_attramentaria","pca","ShipVadmix",0.724986666666667,0.0365133757056335,"Ship","admix","admix",0.275013333333333,0.275013333333333,0.724986666666667,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.670866666666668,0.0328996345108543,"Ship","admix","Ship",0.329133333333332,0.670866666666668,0.329133333333332,NA
"Batillaria_attramentaria","pca","ShipVML",0.732211666666667,0.025315507199952,"Ship","ML","Ship",0.267788333333333,0.732211666666667,NA,0.267788333333333
"Batillaria_attramentaria","untrans","ShipVML",0.743303333333333,0.0195682838693724,"Ship","ML","ML",0.256696666666667,0.256696666666667,NA,0.743303333333333
"Batillaria_attramentaria","pca","AdmixVML",0.602783333333333,0.349120801655887,"Admix","ML","Admix",0.397216666666667,NA,0.602783333333333,0.397216666666667
"Batillaria_attramentaria","untrans","AdmixVML",0.585228333333334,0.345295635884661,"Admix","ML","Admix",0.414771666666666,NA,0.585228333333334,0.414771666666666
"Batillaria_attramentaria","pca","ShipVadmix",0.710927380952381,0.0365040233733488,"Ship","admix","Ship",0.289072619047619,0.710927380952381,0.289072619047619,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.669488333333334,0.0328659661146297,"Ship","admix","admix",0.330511666666666,0.330511666666666,0.669488333333334,NA
"Batillaria_attramentaria","pca","ShipVML",0.734478571428572,0.0253117606397626,"Ship","ML","Ship",0.265521428571428,0.734478571428572,NA,0.265521428571428
"Batillaria_attramentaria","untrans","ShipVML",0.74185,0.0195701571494671,"Ship","ML","ML",0.25815,0.25815,NA,0.74185
"Batillaria_attramentaria","pca","AdmixVML",0.595896666666667,0.349264034735426,"Admix","ML","Admix",0.404103333333333,NA,0.595896666666667,0.404103333333333
"Batillaria_attramentaria","untrans","AdmixVML",0.567716666666667,0.345197338673212,"Admix","ML","ML",0.432283333333333,NA,0.432283333333333,0.567716666666667
"Batillaria_attramentaria","pca","ShipVadmix",0.714755,0.0365320803702027,"Ship","admix","Ship",0.285245,0.714755,0.285245,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.668116666666667,0.0328996345108543,"Ship","admix","Ship",0.331883333333333,0.668116666666667,0.331883333333333,NA
"Batillaria_attramentaria","pca","ShipVML",0.734788333333334,0.0254091712046877,"Ship","ML","Ship",0.265211666666666,0.734788333333334,NA,0.265211666666666
"Batillaria_attramentaria","untrans","ShipVML",0.752528333333333,0.0195664105892777,"Ship","ML","ML",0.247471666666667,0.247471666666667,NA,0.752528333333333
"Batillaria_attramentaria","pca","AdmixVML",0.595503333333333,0.350634578712194,"Admix","ML","Admix",0.404496666666667,NA,0.595503333333333,0.404496666666667
"Batillaria_attramentaria","untrans","AdmixVML",0.581311666666666,0.345309678343439,"Admix","ML","Admix",0.418688333333334,NA,0.581311666666666,0.418688333333334
"Batillaria_attramentaria","pca","ShipVadmix",0.725629761904762,0.036524598504375,"Ship","admix","Ship",0.274370238095238,0.725629761904762,0.274370238095238,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.677391666666667,0.0328884117121128,"Ship","admix","Ship",0.322608333333333,0.677391666666667,0.322608333333333,NA
"Batillaria_attramentaria","pca","ShipVML",0.740811666666667,0.02523120959569,"Ship","ML","Ship",0.259188333333333,0.740811666666667,NA,0.259188333333333
"Batillaria_attramentaria","untrans","ShipVML",0.741401666666667,0.0195739037096566,"Ship","ML","ML",0.258598333333333,0.258598333333333,NA,0.741401666666667
"Batillaria_attramentaria","pca","AdmixVML",0.612341666666667,0.348783782645206,"Admix","ML","Admix",0.387658333333333,NA,0.612341666666667,0.387658333333333
"Batillaria_attramentaria","untrans","AdmixVML",0.578885,0.344933340448179,"Admix","ML","Admix",0.421115,NA,0.578885,0.421115
"Batillaria_attramentaria","pca","ShipVadmix",0.728436666666667,0.036500282440435,"Ship","admix","admix",0.271563333333333,0.271563333333333,0.728436666666667,NA
"Batillaria_attramentaria","untrans","ShipVadmix",0.67005,0.032882800312742,"Ship","admix","admix",0.32995,0.32995,0.67005,NA
"Batillaria_attramentaria","pca","ShipVML",0.739848333333333,0.0252855347184366,"Ship","ML","Ship",0.260151666666667,0.739848333333333,NA,0.260151666666667
