indID,hap,popID,lat,lon
HQB_1,R1,HQB,36.05138889,120.3380556
HQB_2,R1,HQB,36.05138889,120.3380556
HQB_3,R1,HQB,36.05138889,120.3380556
HQB_4,R1,HQB,36.05138889,120.3380556
HQB_5,R1,HQB,36.05138889,120.3380556
HQB_6,R1,HQB,36.05138889,120.3380556
HQB_7,R1,HQB,36.05138889,120.3380556
HQB_8,R1,HQB,36.05138889,120.3380556
HQB_9,R1,HQB,36.05138889,120.3380556
HQB_10,R1,HQB,36.05138889,120.3380556
HQB_11,R1,HQB,36.05138889,120.3380556
HQB_12,R1,HQB,36.05138889,120.3380556
SLL_13,R1,SLL,37.35027778,122.5794444
SLL_14,R1,SLL,37.35027778,122.5794444
SLL_15,R1,SLL,37.35027778,122.5794444
SLL_16,R1,SLL,37.35027778,122.5794444
SLL_17,R1,SLL,37.35027778,122.5794444
SLL_18,R1,SLL,37.35027778,122.5794444
SLL_19,R1,SLL,37.35027778,122.5794444
SLL_20,R1,SLL,37.35027778,122.5794444
SLL_21,R1,SLL,37.35027778,122.5794444
SLL_22,R1,SLL,37.35027778,122.5794444
SLL_23,R1,SLL,37.35027778,122.5794444
SLL_24,R1,SLL,37.35027778,122.5794444
YRD_25,R1,YRD,37.71916667,119.1636111
YRD_26,R1,YRD,37.71916667,119.1636111
YRD_27,R1,YRD,37.71916667,119.1636111
YRD_28,R1,YRD,37.71916667,119.1636111
YRD_29,R1,YRD,37.71916667,119.1636111
YRD_30,R1,YRD,37.71916667,119.1636111
YRD_31,R1,YRD,37.71916667,119.1636111
YRD_32,R1,YRD,37.71916667,119.1636111
YRD_33,R1,YRD,37.71916667,119.1636111
YRD_34,R1,YRD,37.71916667,119.1636111
YRD_35,R1,YRD,37.71916667,119.1636111
YRD_36,R1,YRD,37.71916667,119.1636111
Xch_37,R1,Xch,40.40361111,120.6047222
Xch_38,R1,Xch,40.40361111,120.6047222
Xch_39,R1,Xch,40.40361111,120.6047222
Xch_40,R1,Xch,40.40361111,120.6047222
Xch_41,R1,Xch,40.40361111,120.6047222
Xch_42,R1,Xch,40.40361111,120.6047222
Xch_43,R1,Xch,40.40361111,120.6047222
Xch_44,R1,Xch,40.40361111,120.6047222
Xch_45,R1,Xch,40.40361111,120.6047222
Xch_46,R1,Xch,40.40361111,120.6047222
Xch_47,R1,Xch,40.40361111,120.6047222
HXI_48,R1,HXI,39.23361111,122.5208333
HXI_49,R1,HXI,39.23361111,122.5208333
HXI_50,R1,HXI,39.23361111,122.5208333
HXI_51,R1,HXI,39.23361111,122.5208333
HXI_52,R1,HXI,39.23361111,122.5208333
HXI_53,R1,HXI,39.23361111,122.5208333
HXI_54,R1,HXI,39.23361111,122.5208333
HXI_55,R1,HXI,39.23361111,122.5208333
HXI_56,R1,HXI,39.23361111,122.5208333
HXI_57,R1,HXI,39.23361111,122.5208333
HXI_58,R1,HXI,39.23361111,122.5208333
Xch_59,R2,Xch,40.40361111,120.6047222
Xch_60,R3,Xch,40.40361111,120.6047222
Xch_61,R4,Xch,40.40361111,120.6047222
Xch_62,R5,Xch,40.40361111,120.6047222
Xch_63,R6,Xch,40.40361111,120.6047222
HXI_64,R7,HXI,39.23361111,122.5208333
Oha_65,R7,Oha,34.80111111,133.1125
Oha_66,R7,Oha,34.80111111,133.1125
Oha_67,R7,Oha,34.80111111,133.1125
Oha_68,R7,Oha,34.80111111,133.1125
Oha_69,R7,Oha,34.80111111,133.1125
Oha_70,R7,Oha,34.80111111,133.1125
Oha_71,R7,Oha,34.80111111,133.1125
Oha_72,R7,Oha,34.80111111,133.1125
Oha_73,R7,Oha,34.80111111,133.1125
Oha_74,R7,Oha,34.80111111,133.1125
Not_75,R7,Not,44.09972222,143.87
Not_76,R7,Not,44.09972222,143.87
Not_77,R7,Not,44.09972222,143.87
Not_78,R7,Not,44.09972222,143.87
Not_79,R7,Not,44.09972222,143.87
Not_80,R7,Not,44.09972222,143.87
Not_81,R7,Not,44.09972222,143.87
Not_82,R7,Not,44.09972222,143.87
Not_83,R7,Not,44.09972222,143.87
Not_84,R7,Not,44.09972222,143.87
Onn_85,R7,Onn,43.26305556,145.4911111
Onn_86,R7,Onn,43.26305556,145.4911111
Onn_87,R7,Onn,43.26305556,145.4911111
Onn_88,R7,Onn,43.26305556,145.4911111
Onn_89,R7,Onn,43.26305556,145.4911111
Onn_90,R7,Onn,43.26305556,145.4911111
Onn_91,R7,Onn,43.26305556,145.4911111
Onn_92,R7,Onn,43.26305556,145.4911111
Onn_93,R7,Onn,43.26305556,145.4911111
Onn_94,R7,Onn,43.26305556,145.4911111
Onn_95,R7,Onn,43.26305556,145.4911111
Onn_96,R7,Onn,43.26305556,145.4911111
Kat_97,R7,Kat,38.33555556,141.0872222
Kat_98,R7,Kat,38.33555556,141.0872222
Kat_99,R7,Kat,38.33555556,141.0872222
Kat_100,R7,Kat,38.33555556,141.0872222
Kat_101,R7,Kat,38.33555556,141.0872222
Kat_102,R7,Kat,38.33555556,141.0872222
Kat_103,R7,Kat,38.33555556,141.0872222
Kat_104,R7,Kat,38.33555556,141.0872222
Kat_105,R7,Kat,38.33555556,141.0872222
Kat_106,R7,Kat,38.33555556,141.0872222
Kat_107,R7,Kat,38.33555556,141.0872222
Kat_108,R7,Kat,38.33555556,141.0872222
Kat_109,R7,Kat,38.33555556,141.0872222
Kat_110,R7,Kat,38.33555556,141.0872222
Kat_111,R7,Kat,38.33555556,141.0872222
Kat_112,R7,Kat,38.33555556,141.0872222
Tok_113,R7,Tok,35.31277778,139.8136111
Tok_114,R7,Tok,35.31277778,139.8136111
Tok_115,R7,Tok,35.31277778,139.8136111
Tok_116,R7,Tok,35.31277778,139.8136111
Tok_117,R7,Tok,35.31277778,139.8136111
Tok_118,R7,Tok,35.31277778,139.8136111
Tok_119,R7,Tok,35.31277778,139.8136111
Tok_120,R7,Tok,35.31277778,139.8136111
Tok_121,R7,Tok,35.31277778,139.8136111
Tok_122,R7,Tok,35.31277778,139.8136111
Tok_123,R7,Tok,35.31277778,139.8136111
Tok_124,R7,Tok,35.31277778,139.8136111
Ago_125,R7,Ago,34.30083333,136.8472222
Ago_126,R7,Ago,34.30083333,136.8472222
Ago_127,R7,Ago,34.30083333,136.8472222
Ago_128,R7,Ago,34.30083333,136.8472222
Ago_129,R7,Ago,34.30083333,136.8472222
Birch_130,R7,Birch,48.90194444,-122.7738889
Birch_131,R7,Birch,48.90194444,-122.7738889
Birch_132,R7,Birch,48.90194444,-122.7738889
Birch_133,R7,Birch,48.90194444,-122.7738889
Birch_134,R7,Birch,48.90194444,-122.7738889
Birch_135,R7,Birch,48.90194444,-122.7738889
Birch_136,R7,Birch,48.90194444,-122.7738889
Birch_137,R7,Birch,48.90194444,-122.7738889
Birch_138,R7,Birch,48.90194444,-122.7738889
Birch_139,R7,Birch,48.90194444,-122.7738889
Birch_140,R7,Birch,48.90194444,-122.7738889
Birch_141,R7,Birch,48.90194444,-122.7738889
Padi_142,R7,Padi,48.48055556,-122.4769444
Padi_143,R7,Padi,48.48055556,-122.4769444
Padi_144,R7,Padi,48.48055556,-122.4769444
Padi_145,R7,Padi,48.48055556,-122.4769444
Padi_146,R7,Padi,48.48055556,-122.4769444
Padi_147,R7,Padi,48.48055556,-122.4769444
Padi_148,R7,Padi,48.48055556,-122.4769444
Padi_149,R7,Padi,48.48055556,-122.4769444
Padi_150,R7,Padi,48.48055556,-122.4769444
Padi_151,R7,Padi,48.48055556,-122.4769444
