,n,reg
Akk,12,hok
Ari,5,kag
CHIN,22,nonSource
CHIS,23,nonSource
Dal,2,nonSource
Dl,19,nonSource
Gz,7,nonSource
JAP,31,tok
Kag,7,sea
Kia,4,nonSource
Lz,11,nonSource
Mik,5,tok
Miy,3,nonSource
Nan,5,nonSource
Nb,13,nonSource
Not,5,hok
Pt,16,nonSource
Qd,20,nonSource
Rs,9,nonSource
Tj,17,nonSource
Tok,5,tok
Xia,5,nonSource
EUR1,28,EuropeSouth
EUR2,22,EuropeSouth
EUR3,34,EuropeSouth
EUR4,27,EuropeSouth
NAM1,33,NAm_north
NAM2,33,NAm_north
