,n,reg
aka,14,hok
cnt,11,tok
fut,16,hok
hay,12,nonSource
hik,11,kag
mng,12,hon
mou,6,hon
shk,16,kag
sou,12,hon
usu,16,hok
waj,16,kag
ave,10,EUR
bob,3,WNA
dhd,11,EUR
dhh,3,EUR
dns,15,EUR
eld,3,WNA
far,3,EUR
fdm,12,EUR
fpa,8,EUR
fpl,3,EUR
gal,3,EUR
pmo,3,WNA
ptw,8,WNA
tmb,14,WNA
