,n,reg
Ariake,18,kag
Hiroshima,18,sea
Ibo,4,sea
Kasuga,1,sea
Kumode,8,tok
Mangoku,18,hon
Matsukawa,20,hon
Matsushima,29,hon
Nagazura,34,hon
Obitsu,1,tok
Toga,6,nonSource
Torinoumi,18,hon
Yamada,1,hon
Bolinus,22,Cali
Boundary,9,PNW
Elkhorn,213,Cali
Padila,8,PNW
