,n,reg
Ariake,13,kag
Hiroshima,5,sea
Ibo,4,sea
Kasuga,1,sea
Kumode,1,tok
Mangoku,16,hon
Matsukawa,12,hon
Matsushima,18,hon
Nagazura,17,hon
Tanabe,2,sea
Toga,6,nonSource
Torinoumi,3,hon
Yamada,1,hon
Bolinus,23,Cali
Boundary,37,PNW
Elkhorn,66,Cali
Padila,5,PNW
