Locality codea	"Collection information (Locality, collection date)"	Origin	"Haplotypes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
10	"Suouoshima, Yamaguchi Pref., Japan (22 Jun. 2005)"	"Kogishi et al., 2010"	"HS (1, AB499636/AB499659)"	HS	1	Suouoshima	Yamaguchi Pref.	Japan	33.966396	132.205534
11	"Onyu Island, Oita Pref., Japan (15 Mar. 2006)"	"Kogishi et al., 2010"	"HP (1, AB499633/AB499656), HQ (1, AB499634/AB499657)"	HP	1	Onyu Island	Oita Pref.	Japan	35.496164	135.3435984
11	"Onyu Island, Oita Pref., Japan (15 Mar. 2006)"	"Kogishi et al., 2010"	"HP (1, AB499633/AB499656), HQ (1, AB499634/AB499657)"	HQ	1	Onyu Island	Oita Pref.	Japan	35.496164	135.3435984
12	"Shikanoshima, Fukuoka Pref., Japan (25 Apr. 2005)"	"Kogishi et al., 2010"	"HK (2), HN (1), HO (1, AB499632/AB499655)"	HK	2	Shikanoshima	Fukuoka Pref.	Japan	33.66505755	130.3176677
12	"Shikanoshima, Fukuoka Pref., Japan (25 Apr. 2005)"	"Kogishi et al., 2010"	"HK (2), HN (1), HO (1, AB499632/AB499655)"	HN	1	Shikanoshima	Fukuoka Pref.	Japan	33.66505755	130.3176677
12	"Shikanoshima, Fukuoka Pref., Japan (25 Apr. 2005)"	"Kogishi et al., 2010"	"HK (2), HN (1), HO (1, AB499632/AB499655)"	HO	1	Shikanoshima	Fukuoka Pref.	Japan	33.66505755	130.3176677
13	"Otsuku Island, Kumamoto Pref., Japan (Mar. 2005)"	"Kogishi et al., 2010"	"HW (1, AB499640/AB499663)"	HW	1	Otsuku Island	Kumamoto Pref.	Japan	32.487335	130.498497
14	"Miyazaki, Miyazaki Pref., Japan (6 May 2005)"	"Kogishi et al., 2010"	"HU (1, AB499638/AB499661), HV (1, AB499639/AB499662)"	HU	1	Miyazaki	Miyazaki Pref.	Japan	32.097681	131.294542
14	"Miyazaki, Miyazaki Pref., Japan (6 May 2005)"	"Kogishi et al., 2010"	"HU (1, AB499638/AB499661), HV (1, AB499639/AB499662)"	HV	1	Miyazaki	Miyazaki Pref.	Japan	32.097681	131.294542
15	"Dadaepo, Pusan, Korea (11 Mar. 2006)"	"Kogishi et al., 2010"	"HF (1, AB499623/AB499646), HK (1)"	HF	1	Dadaepo	Pusan	Korea	35.0480653	128.9662119
15	"Dadaepo, Pusan, Korea (11 Mar. 2006)"	"Kogishi et al., 2010"	"HF (1, AB499623/AB499646), HK (1)"	HK	1	Dadaepo	Pusan	Korea	35.0480653	128.9662119
