simdir,      probShip
battr,  0.1
battrHL1, 0.5
battrHL6, 0.1
dide, 0.9
goby, 0.9
gvermMTDNA,  0.5
gvermSNP, 0.5
gvermSSR, 0.5
hami, 0.1
hsanguineus,  0.9
htakanoi,  0.9
muti,  0.9
pala,  0.9
ulva,   0.5
upinn,   0.5
polyd,   0.9

