simdir,      probShip
battr,  0.5
battrHL1, 0.5
battrHL6, 0.5
dide, 0.5
goby, 0.5
gvermMTDNA,  0.5
gvermSNP, 0.5
gvermSSR, 0.5
hami, 0.5
hsanguineus,  0.5
htakanoi,  0.5
muti,  0.5
pala,  0.5
ulva,   0.5
upinn,   0.5
polyd,   0.5

