simdir,      probShip
battr,  0.05
battrHL1, 0.5
battrHL6, 0.05
dide, 0.95
goby, 0.95
gvermMTDNA,  0.5
gvermSNP, 0.5
gvermSSR, 0.5
hami, 0.05
hsanguineus,  0.95
htakanoi,  0.95
muti,  0.95
pala,  0.95
ulva,   0.5
upinn,   0.5
polyd,   0.95

