,n,reg
Mangoku,1,hon
Matsue,1,nonSource
Nagoya,1,tok
Osaka,1,sea
Tokyo,1,tok
Yamagushi,1,sea
BEL,1,EU
CHA,1,EU
ELK,1,PNW
ENG,1,EU
GIR,1,EU
GUA,1,EU
ORE,1,Cali
SFB,1,Cali
