10,k2,-88689996.550020
10,k3,-88200831.505364
10,k4,-87904326.261946
10,k5,-87584989.948465
10,k6,-87244354.120426
10,k7,-86953679.065158
10,k8,-86699597.559064
11,k2,-88689995.989916
11,k3,-88200832.351123
11,k4,-87796149.028456
11,k5,-87503132.163893
11,k6,-87282601.895523
11,k7,-86954167.253577
11,k8,-86696281.100111
12,k2,-88689996.948002
12,k3,-88200829.373370
12,k4,-87880949.529798
12,k5,-87584998.988607
12,k6,-87184137.413767
12,k7,-86948449.764727
12,k8,-86696139.458132
13,k2,-88689996.712411
13,k3,-88200823.721113
13,k4,-87905836.289473
13,k5,-87585002.359705
13,k6,-87282542.328719
13,k7,-86931484.868628
13,k8,-86697337.290640
14,k2,-88689996.334609
14,k3,-88200829.256332
14,k4,-87904305.483418
14,k5,-87499736.180996
14,k6,-87184130.760845
14,k7,-86952929.063777
14,k8,-86701150.249004
15,k2,-88689995.818500
15,k3,-88200832.030845
15,k4,-87797125.776412
15,k5,-87479259.725059
15,k6,-87241811.050868
15,k7,-86928983.276233
15,k8,-86702912.675302
16,k2,-88689996.106704
16,k3,-88200832.177489
16,k4,-87905826.100051
16,k5,-87499569.751858
16,k6,-87240265.218776
16,k7,-87009755.148634
16,k8,-86695101.591855
17,k2,-88689996.807165
17,k3,-88200832.175275
17,k4,-87905840.682920
17,k5,-87501881.551939
17,k6,-87242791.134671
17,k7,-86931465.166546
17,k8,-86695108.424189
18,k2,-88689995.921771
18,k3,-88200824.340786
18,k4,-87797125.834823
18,k5,-87585925.848588
18,k6,-87266056.168166
18,k7,-87008124.085907
18,k8,-86698885.703690
19,k2,-88689996.786885
19,k3,-88200831.990186
19,k4,-87797129.615968
19,k5,-87585060.340993
19,k6,-87328918.357347
19,k7,-86948336.121858
19,k8,-86701037.822808
1,k2,-88689996.191436
1,k3,-88200831.148053
1,k4,-87797126.230397
1,k5,-87500612.867188
1,k6,-87242751.184764
1,k7,-86953893.451812
1,k8,-86702180.396324
20,k2,-88689995.270275
20,k3,-88200832.717419
20,k4,-87905881.333197
20,k5,-87584998.802938
20,k6,-87244301.581508
20,k7,-86928962.235107
20,k8,-86702256.265244
21,k2,-88689995.999425
21,k3,-88200825.213389
21,k4,-87797129.421266
21,k5,-87501877.915076
21,k6,-87184125.646350
21,k7,-86931507.112087
21,k8,-86695132.910306
22,k2,-88689995.992622
22,k3,-88200830.815723
22,k4,-87796142.461920
22,k5,-87479276.699963
22,k6,-87348901.267193
22,k7,-86953727.469275
22,k8,-86738783.920632
23,k2,-88689994.905434
23,k3,-88200830.517377
23,k4,-87796145.425389
23,k5,-87501908.081255
23,k6,-87240259.346839
23,k7,-86949732.146168
23,k8,-86796947.803754
24,k2,-88689996.760440
24,k3,-88200830.778664
24,k4,-87797129.569379
24,k5,-87499569.726159
24,k6,-87265007.330144
24,k7,-86948383.997742
24,k8,-86735006.788658
25,k2,-88689997.058430
25,k3,-88200828.001152
25,k4,-87797125.823510
25,k5,-87479280.574810
25,k6,-87282560.311230
25,k7,-87011124.997927
25,k8,-86695133.433792
