"pop","file","mapped","unmapped","mappedMQ0","id","mappedProp","mappedPropMQ0","fullpath","lib","paralogRemoved","PopID.alt","truepop","Abbreviation","Region","Date_of_Collection","Latitude","Longitude","Collector","Notes"
"ESP","ESP_09_bwa.np.bam",1296196,119772,359641,"ESP_09",0.915,0.277,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_09_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_10_bwa.np.bam",1081539,134928,348794,"ESP_10",0.889,0.322,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_10_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_16_bwa.np.bam",4074871,266117,1172244,"ESP_16",0.939,0.288,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_16_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_17_bwa.np.bam",921324,81309,255588,"ESP_17",0.919,0.277,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_17_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_18_bwa.np.bam",3687933,350308,1097169,"ESP_18",0.913,0.298,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_18_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_21_bwa.np.bam",1192694,100584,340135,"ESP_21",0.922,0.285,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_21_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_22_bwa.np.bam",4232256,325518,1284541,"ESP_22",0.929,0.304,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_22_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_23_bwa.np.bam",978146,86041,282414,"ESP_23",0.919,0.289,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_23_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_25_bwa.np.bam",3602758,325122,1072562,"ESP_25",0.917,0.298,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_25_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_26_bwa.np.bam",803402,67047,229760,"ESP_26",0.923,0.286,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_26_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
"ESP","ESP_28_bwa.np.bam",2341580,253759,769843,"ESP_28",0.902,0.329,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/ESP_28_bwa.np.bam","finalFastq",TRUE,"","ESP","Espasante_Galicia","Spain","",43.721271,-7.814205,"Couceiro",""
