pop,file,mapped,unmapped,mappedMQ0,id,mappedProp,mappedPropMQ0,fullpath,lib,paralogRemoved,PopID.alt,truepop,Abbreviation,Region,Date_of_Collection,Latitude,Longitude,Collector,Notes
AKK,all.AKK_02_bwa.np.bam,2276046,256423,585564,AKK_02,0.899,0.257,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_02_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_05_bwa.bam,2468146,205007,763269,AKK_05,0.923,0.309,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_05_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_05_bwa.np.bam,1924879,205007,513758,AKK_05,0.904,0.267,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_05_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_08_bwa.bam,2290155,180269,722634,AKK_08,0.927,0.316,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_08_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_08_bwa.np.bam,1791701,180269,490533,AKK_08,0.909,0.274,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_08_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_09_bwa.bam,2743516,206657,875956,AKK_09,0.93,0.319,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_09_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_09_bwa.np.bam,2104485,206657,564105,AKK_09,0.911,0.268,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_09_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_11_bwa.bam,2831914,243382,873172,AKK_11,0.921,0.308,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_11_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_11_bwa.np.bam,2232713,243382,598805,AKK_11,0.902,0.268,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_11_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_14_bwa.bam,2731338,224164,852998,AKK_14,0.924,0.312,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_14_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_14_bwa.np.bam,2127913,224164,572969,AKK_14,0.905,0.269,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_14_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_15_bwa.bam,2512116,185928,788874,AKK_15,0.931,0.314,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_15_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_15_bwa.np.bam,1958222,185928,528380,AKK_15,0.913,0.27,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_15_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_16_bwa.bam,2615258,211605,819039,AKK_16,0.925,0.313,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_16_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
