pop,Abbreviation,Region,GeneticRegions,NatNon,Date_of_Collection,Latitude,Longitude,lon.pie,lat.pie,Collector,Notes,BO_sstmax,BO_sstmin,BO_sstmean,BO_sstrange,BO_salinity,BO_chlomax,BO_chlomin,BO_chlomean,BO_chlorange,MeanAirTemp,MaxAirTemp,MinAirTemp,RangeAirTemp
MAI,Maizuru,Japan,Tokyo_wJap,Native,Fall 2021,35.515338,135.336001,134.3858,37.39699,Yorisue,Spat collectors,28.16600037,10.91399956,18.65800095,17.25200081,33.01499939,2.976000071,1.187999964,2.082000017,1.787999988,13.69999981,30.5,-0.699999988,31.20000076
MAL,Matsukawaura Lagoon (A branch Bay of Sendai Bay),Japan,Miyagi,Native,28-May-17,37.82314,140.954988,145.5175,36.76776,Kanaya,Gravels on mud flat,24.36000061,6.68200016,14.81799984,17.6779995,33.01699829,8.984999657,1.786999941,3.688999891,7.197999954,12.60000038,28.29999924,-2.099999905,30.39999962
MAT,Matsushima Bay (A branch Bay of Sendai Bay),Japan,Miyagi,Native,24-Jul-17,38.35186,141.058982,145.4512,38.419,Kanaya,Gravels on sandy flat,26.04599953,4.105000019,14.80200005,21.94099998,32.93700027,10.10299969,2.032999992,5.15500021,8.069999695,11.80000019,27.79999924,-3.099999905,30.89999962
MON,Nishi Mone Bay (A branch Bay of Kesennuma Bay),Japan,Miyagi,Native,30-May-17,38.90008,141.624736,145.517,40.071,Kanaya,Seawall at small rivermouth,23.21999931,7.263000011,14.04800034,15.95699978,33.39099884,2.411999941,0.428000003,1.04400003,1.983999968,11,27.10000038,-3.799999952,30.89999962
NEW,NewportBay Orange County - 15th street,soCal,soCalifornia,Introduced,,33.60813,-117.92009,,,Zacherl,,20.88599968,14.70800018,17.46299934,6.177999973,33.47700119,16.70100021,0.356000006,3.450999975,16.34499931,17,26.70000076,7.099999905,19.60000038
OHK,Ohkamo River in Izu Peninsura (Shimoda city),Japan,Tokyo_wJap,Native,6-Aug-17,34.65528,138.918478,140.2829,32.62533,Kanaya,Seawall at rivermouth,26.38999939,15.33899975,20.29599953,11.05099964,33.94100189,0.661000013,0.245000005,0.444999993,0.416000009,16.5,28.79999924,4.800000191,24
OKA,Okayama_Japan,Japan,Seto,Native,,34.45628,133.896859,136.6386,31.31444,Hori,,27.27799988,9.803999901,18.87800026,17.47400093,32.65599823,6.25,3.359999895,4.454999924,2.890000105,15,31.29999924,0,31.29999924
OTA,Oita_Japan,Japan,Seto,Native,,33.62537,131.193653,132.3317,29.84624,Hori,,28.68300056,11.63199997,19.86499977,17.0510006,32.42200089,11.89799976,2.753999949,4.835000038,9.144000053,15.60000038,31.60000038,0.5,31.10000038
PES,Los Penasquitos Lagoon Coast hwy,soCal,soCalifornia,Introduced,,32.93318,-117.259885,,,Crooks,,22.13999939,14.8739996,18.13500023,7.265999794,33.48799896,11.93500042,0.446999997,2.763999939,11.48799992,17,26,7.400000095,18.60000038
QB2,Quilcene - Hood Canal,NW America,PNW,Introduced,Fall 2021,47.793347,-122.856315,,,Hilary Heyford,Spat collectors,15.96500015,-0.052999999,10.21000004,16.01799965,29.5189991,15.37699986,1.995000005,7.877999783,13.38199997,9.5,23.29999924,-0.300000012,23.60000038
SAM,Same River in Iwaki City,Japan,Miyagi,Native,14-Jul-17,36.90936,140.816924,145.1199,35.08992,Kanaya,Gravels on sandy flat,24.30800056,10.23600006,16.66300011,14.07199955,33.39799881,6.874000072,1.284000039,2.996999979,5.590000153,13.5,28.10000038,-1.5,29.60000038
SAR,Lake Saroma,Japan,Akkeshi,Native,17-Aug,44.12084,143.966724,145.7162,45.839,Yorisue/Nakaoka,,20.78199959,-0.690999985,7.880000114,21.47299957,32.76499939,2.713000059,0.477999985,1.419999957,2.234999895,6.400000095,23.29999924,-11.39999962,34.70000076
SBB,San Blas Bay (SB),Argentina,Argentina,Introduced,,-40.5394,-62.252666,,,Schwindt,,21.88999939,8.68500042,15.39099979,13.20499992,33.68600082,5.65899992,4.210000038,4.954999924,1.449000001,13.60000038,27.10000038,1.899999976,25.20000076
SVA,Svallhagen,Sweden,noEurope,Introduced,year 2013,58.8684,11.1551,14.602,60.161,Strand/Kochmann,in Faust et al. 2017 MEPS,19.27000046,1.779999971,9.777999878,17.48999977,28.5720005,19.27899933,4.374000072,11.27700043,14.90499973,7.199999809,19.79999924,-3.900000095,23.70000076
TJE,TJE Boca Rio,soCal,soCalifornia,Introduced,,32.5595,-117.129165,,,Crooks,,20.97100067,14.70400047,17.45100021,6.267000198,33.4980011,4.737999916,0.838999987,2.539000034,3.898999929,16.70000076,25.60000038,7.199999809,18.39999962
TRO,Tromlingene,Norway,noEurope,Introduced,year 2013,58.4748,8.9067,8.301,60.642,Strand,in Faust et al. 2017 MEPS,19.26000023,2.463999987,10.49499989,16.79599953,28.67399979,6.364999771,2.572999954,4.514999866,3.792000055,7.300000191,19.29999924,-3.400000095,22.70000076
WAD,Wadden Sea,Denmark,noEurope,Introduced,year 2013,55.1859,8.6222,4.70026,55.259,Strand,in Faust et al. 2017 MEPS,19.85499954,2.561000109,9.973999977,17.29400063,29.07699966,17.8029995,10.20600033,14.05300045,7.597000122,8.5,19.70000076,-1,20.70000076
WLB,WillapaBay_Nahcotta,NW America,PNW,Introduced,20-May-17,46.46874,-124.023696,,,Ruesink,,14.69799995,8.359999657,11.56400013,6.337999821,15.05200005,17.35899925,5.903999805,10.96899986,11.45499992,10,19.60000038,1.799999952,17.79999924
YOJ,Yojiro Kagoshima,Japan,Kagoshima,Native,10-Aug-17,31.55863,130.562861,128.9525,29.53162,Terada/Endo,,29.61300087,16.61599922,22.56599998,12.99699974,33.94499969,9.321000099,0.606999993,3.717000008,8.713999748,17.89999962,31.89999962,3.200000048,28.70000076
YUR,Yura_Sumoto_HyogoPrefecture,Japan,Seto,Native,8-May-17,34.27394,134.953667,137.765,32.99238,Kamiya,,26.91799927,11.52900028,19.22900009,15.38899994,32.70899963,29.0890007,2.072999954,5.749000072,27.01600075,15.39999962,30.60000038,1.799999952,28.79999924
