Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
35	"Gamagori, Aichi Pref., Japan (8 Jun. 2005)"	"Hanyuda et al., 2016"	H7 (1)	H7	1	Gamagori	Aichi Pref.	Japan	34.833929	137.225163
36	"Toba, Mie Pref., Japan (12 Jun. 2005)"	"Hanyuda et al., 2016"	H6 (3)	H6	3	Toba	Mie Pref.	Japan	34.471446	136.829358
37	"Benten Cape, Sado, Niigata Pref., Japan (12 Jun. 2005)"	"Hanyuda et al., 2016"	"H34 (1, AB607187/AB607823)"	H34	1	Benten Cape	Sado	Japan	38.007667	138.546623
38	"Tamasaki, Sado, Niigata Pref., Japan (13 Jun. 2005)"	"Hanyuda et al., 2016"	"H37 (1, AB607187/AB607824), H44 (1)"	H37	1	Tamasaki	Sado	Japan	35.530762	140.071648
38	"Tamasaki, Sado, Niigata Pref., Japan (13 Jun. 2005)"	"Hanyuda et al., 2016"	"H37 (1, AB607187/AB607824), H44 (1)"	H44	1	Tamasaki	Sado	Japan	35.530762	140.071648
39	"Maze, Niigata, Niigata Pref., Japan (2 Jan. 2006)"	"Hanyuda et al., 2016"	"H35 (1, AB607188/AB607822), H36 (1, AB607188/AB607824)"	H35	1	Maze	Niigata	Japan	37.905923	138.954723
39	"Maze, Niigata, Niigata Pref., Japan (2 Jan. 2006)"	"Hanyuda et al., 2016"	"H35 (1, AB607188/AB607822), H36 (1, AB607188/AB607824)"	H36	1	Maze	Niigata	Japan	37.905923	138.954723
40	"Nakai, Anamizu, Ishikawa Pref., Japan (20 Jun. 2006)"	"Hanyuda et al., 2016"	"H45 (1, AB607185/AB607828)"	H45	1	Nakai	Anamizu	Japan	35.334473	139.220648
41	"Akazumi, Shik, Ishikawa Pref., Japan (Sep. 2005)"	"Hanyuda et al., 2016"	"H43 (1, AB607181/AB607827)"	H43	1	Akazumi	Shik	Japan	37.190777	137.076203
42	"Obama, Fukui Pref., Japan (9 Jun. 2005)"	"Hanyuda et al., 2016"	H44 (2)	H44	2	Obama	Fukui Pref.	Japan	35.493828	135.744661
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H12	1	Takeno	Hyogo Pref.	Japan	35.649961	134.756376
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H15	1	Takeno	Hyogo Pref.	Japan	35.649961	134.756376
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H17	1	Takeno	Hyogo Pref.	Japan	35.649961	134.756376
