Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
101	"Island Bay, Wellington, NZ (27 Jun. 2005, 5 Dec. 2005)"	"Hanyuda et al., 2016"	"H5 (1), H8 (1)"	H8	1	Island Bay	Wellington	NZ	-41.3323139	174.7716525
102	"Porirua Harbour, Wellington, NZ (25 Nov. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Porirua Harbour	Wellington	NZ	-41.10889535	174.8585899
103	"Titahi Bay, Wellington, NZ (29 Nov. 20005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Titahi Bay	Wellington	NZ	-41.1086925	174.8374978
104	"Lyall Bay west, Wellington, NZ (5 Dec. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Lyall Bay west	Wellington	NZ	-41.3248033	174.8127753
105	"Brendan beach, Pukerua Bay, Wellington, NZ (9 Dec. 2005)"	"Hanyuda et al., 2016"	H8 (1)	H8	1	Brendan beach	Pukerua Bay	NZ	-41.0283511	174.8990223
106	"Mana marina, Wellington, NZ (9 Dec. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Mana marina	Wellington	NZ	-41.1001	174.8678
107	"Marfells Beach, NZ (9 Apr. 2005)"	"Hanyuda et al., 2016"	"H5 (1), H8 (1)"	H5	1	Marfells Beach	NA	NZ	-41.7382241	174.1731901
107	"Marfells Beach, NZ (9 Apr. 2005)"	"Hanyuda et al., 2016"	"H5 (1), H8 (1)"	H8	1	Marfells Beach	NA	NZ	-41.7382241	174.1731901
108	"Mangamaunu, Kaikoura, NZ (2 Oct. 2004, 7 Dec. 2005)"	"Hanyuda et al., 2016"	H5 (3)	H5	3	Mangamaunu	Kaikoura	NZ	-42.2969179	173.7486759
109	"Taylors Mistake, Christchurch, NZ (26 Jun. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Taylors Mistake	Christchurch	NZ	-43.5819873	172.7793067
110	"Lyttelton Marina, Christchurch, NZ (18 Oct. 2004)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Lyttelton Marina	Christchurch	NZ	-43.6113774	172.7023971
111	"Lyttelton Port, NZ (21 Mar. 2002, 1 Nov. 2004, 2 Nov. 2004)"	"Hanyuda et al., 2016"	"H5 (4), H7 (1)"	H5	4	Lyttelton Port	NA	NZ	-43.6065248	172.7349867
112	"Cave Rock, Sumner, Canterbury, NZ (26 Jun. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Cave Rock	Sumner	NZ	42.3093679	-124.4167643
113	"Pigeon Bay, Banks Peninsula, Canterbury, NZ (27 Jun. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Pigeon Bay	Banks Peninsula	NZ	-43.6867452	172.8999544
114	"Waitangi, Petre Bay, Chatham Island, NZ (31 Jan. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Waitangi	Petre Bay	NZ	-35.2704653	174.0804593
115	"Whangatere Inlet, Petre Bay, Chatham Island, NZ (2 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Whangatere Inlet	Petre Bay	NZ	-43.907669	-176.5618649
116	"Port Hutt, Petre Bay, Chatham Island, NZ (2 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H7	1	Port Hutt	Petre Bay	NZ	-43.8148942	-176.710248
117	"Mangere Island, Chatham Island, NZ (4 Feb. 2006)"	"Hanyuda et al., 2016"	H7 (1)	H5	1	Mangere Island	Chatham Island	NZ	-44.265432	-176.2934403
118	"Timaru Port, NZ (23 Nov. 2004, 24 Nov. 2004)"	"Hanyuda et al., 2016"	H5 (4)	H5	4	Timaru Port	NA	NZ	-44.3924551	171.251282
119	"Kakanui Beach, Otago, NZ (28 Jun. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Kakanui Beach	Otago	NZ	-45.166576	170.9095877
120	"Moeraki Boulders, NZ (18 Sep. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H7	1	Moeraki Boulders	NA	NZ	-45.3451734	170.8262448
121	"Moeraki, NZ (20 Oct. 2004)"	"Hanyuda et al., 2016"	H7 (1)	H5	1	Moeraki	NA	NZ	-45.3740025	170.844139
122	"Aquarium point, NZ (24 May 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Aquarium point	NA	NZ	-29.86751945	31.04580089
123	"Brighton Beach, Dunedin, NZ (27 May 2005, 19 Sep. 2005, 16 Dec. 2005)"	"Hanyuda et al., 2016"	H5 (4)	H5	4	Brighton Beach	Dunedin	NZ	40.57964365	-73.96111023
124	"Kaka Point, NZ (28 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Kaka Point	NA	NZ	-46.3842151	169.7830234
125	"Tirohanga, NZ (28 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Tirohanga	NA	NZ	-41.9627012	174.0545137
126	"Halfmoon Bay, Stewart Island, NZ (21 Oct. 2004)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Halfmoon Bay	Stewart Island	NZ	49.50614665	-123.9275319
127	"Port William, Stewart Island, NZ (31 Oct. 2004)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Port William	Stewart Island	NZ	39.5520056	-83.786314
128	"Mill Bay creek, Stewart Island, NZ (31 Oct. 2004)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Mill Bay creek	Stewart Island	NZ	40.9027512	-73.5517295
129	"Riverton Rocks, NZ (29 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Riverton Rocks	NA	NZ	-46.376756	168.0305681
130	"Monkey Island, NZ (28 Apr. 2005, 29 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Monkey Island	NA	NZ	44.02704015	-88.51423064
131	"Wharariki, Cape Farewell, NZ (13 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Wharariki	Cape Farewell	NZ	-39.5312634	174.6384361
132	"Pohara Wharf, Golden Bay, NZ (13 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Pohara Wharf	Golden Bay	NZ	-40.679433	172.851843
133	"Boulder Bank, Glenduan, Nelson, Tasman Bay, NZ (12 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Boulder Bank	Glenduan	NZ	-41.2327445	173.298041
134	"Constant Bay, Carleston, West Coast, NZ (14 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H7	1	Constant Bay	Carleston	NZ	-41.9031212	171.4322201
135	"South of Charleston, West Coast, NZ (14 Feb. 2006)"	"Hanyuda et al., 2016"	H7 (1)	H5	1	South of Charleston	West Coast	NZ	32.7844246	-79.93811494
136	"Evening Point, NZ (14 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Evening Point	NA	NZ	53.6693179	-129.7598919
137	"Eleanor Island, Charles Sound, Fiordland, NZ (11 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Eleanor Island	Charles Sound	NZ	60.5522585	-147.5666022
138	"Copper pad, Gold Arm, Charles Sound, Fiordland, NZ (12 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Copper pad	Gold Arm	NZ	51.70631595	-117.7077194
139	"Friendship Head, Gold Arm, Charles Sound, Fiordland, NZ (12 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Friendship Head	Gold Arm	NZ	-45.1029804	167.1405111
140	"Deep Cove, before Brassel Point, Doubtful Sound, Fiordland, NZ (18 Oct. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Deep Cove	before Brassel Point	NZ	44.5709045	-64.0406803
141	"Tricky Cove, Doubtful Sound, Fiordland, NZ (19 Oct. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Tricky Cove	Doubtful Sound	NZ	-45.3487968	167.0555933
142	"Bauza Island, Doubtful Sound, Fiordland, NZ (29 Nov. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Bauza Island	Doubtful Sound	NZ	-45.29168895	166.9117727
143	"Otago Point, Dagg Sound, Fiordland, NZ (6 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Otago Point	Dagg Sound	NZ	-45.4141521	166.8540069
144	"Malaspina Reach, Doubtful Sound, Fiordland, NZ (10 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Malaspina Reach	Doubtful Sound	NZ	-45.33354585	167.0045022
145	"Bowen Channel, Dusky Sound, Fiordland, NZ (5 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Bowen Channel	Dusky Sound	NZ	49.3784237	-123.3025708
146	"Station Islet, Inner Edwardson Sound, Fiordland, NZ (3 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Station Islet	Inner Edwardson Sound	NZ	-45.9574591	166.6150045
147	"Stella base site, Fiordland, NZ (3 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Stella base site	Fiordland	NZ	-45.29155285	167.4879931
148	"First Cove, Breaksea Sound, Fiordland, NZ (6 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	First Cove	Breaksea Sound	NZ	50.8371535	-4.5555715
149	"Acheron Passage, Dusky sound, Fiordland, NZ (5 Feb. 2006)"	"Hanyuda et al., 2016"	H5 (1)	HS	1	Acheron Passage	Dusky sound	NZ	-45.6654104	166.7258294
