"","Cali","EuropeNorth","EuropeSouth","PNW"
"hok",44.01,103.01,57.01,10.01
"hon",18.01,9.01,54.01,4.01
"tok",0.01,0.01,1.01,25.01
"sea",0.01,0.01,0.01,4.01
"kag",0.01,5.01,20.01,3.01
"nonSource",18.01,11.01,31.01,4.01
