,Bolinus,Boundary,Elkhorn,Padila
Ariake,0,0,0,0
Hiroshima,0,0,0,0
Ibo,0,0,0,0
Kasuga,0,0,0,0
Kumode,0,0,0,0
Mangoku,0,0,0,0
Matsukawa,0,0,0,0
Matsushima,8,4,123,6
Nagazura,14,5,90,2
Obitsu,0,0,0,0
Toga,0,0,0,0
Torinoumi,0,0,0,0
Yamada,0,0,0,0
